slaveside_jv3301Master_lasse100TC_vostroSlave.txt
ptp4l[564413.554]: selected /dev/ptp0 as PTP clock
ptp4l[564413.593]: port 1 (enp1s0f1): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[564413.593]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[564413.593]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[564419.727]: port 1 (enp1s0f1): new foreign master a0369f.fffe.f93e34-1
ptp4l[564420.652]: selected local clock a0369f.fffe.f9498d as best master
ptp4l[564423.327]: selected best master clock a0369f.fffe.f93e34
ptp4l[564423.327]: port 1 (enp1s0f1): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[564430.540]: master offset        354 s2 freq   -2893 path delay      3926
ptp4l[564431.440]: master offset        200 s2 freq   -2940 path delay      3926
ptp4l[564432.340]: master offset         79 s2 freq   -3001 path delay      3928
ptp4l[564433.240]: master offset         19 s2 freq   -3038 path delay      3930
ptp4l[564434.140]: master offset        -28 s2 freq   -3079 path delay      3930
ptp4l[564435.040]: master offset         13 s2 freq   -3046 path delay      3921
ptp4l[564435.940]: master offset         -7 s2 freq   -3063 path delay      3929
ptp4l[564436.840]: master offset        -17 s2 freq   -3075 path delay      3929
ptp4l[564437.740]: master offset         12 s2 freq   -3051 path delay      3929
ptp4l[564438.640]: master offset          3 s2 freq   -3056 path delay      3929
ptp4l[564439.541]: master offset          0 s2 freq   -3058 path delay      3929
ptp4l[564440.441]: master offset        -14 s2 freq   -3072 path delay      3930
ptp4l[564441.341]: master offset         -2 s2 freq   -3064 path delay      3930
ptp4l[564442.241]: master offset         22 s2 freq   -3041 path delay      3925
ptp4l[564443.141]: master offset         -9 s2 freq   -3065 path delay      3925
ptp4l[564444.041]: master offset         -4 s2 freq   -3063 path delay      3925
ptp4l[564444.941]: master offset          3 s2 freq   -3057 path delay      3923
ptp4l[564445.841]: master offset        -11 s2 freq   -3070 path delay      3923
ptp4l[564446.741]: master offset         12 s2 freq   -3051 path delay      3923
ptp4l[564447.641]: master offset          4 s2 freq   -3055 path delay      3923
ptp4l[564448.542]: master offset        -12 s2 freq   -3070 path delay      3922
ptp4l[564449.442]: master offset        -13 s2 freq   -3075 path delay      3922
ptp4l[564450.342]: master offset        -11 s2 freq   -3076 path delay      3922
ptp4l[564451.242]: master offset          6 s2 freq   -3063 path delay      3922
ptp4l[564452.142]: master offset          9 s2 freq   -3058 path delay      3922
ptp4l[564453.042]: master offset        -17 s2 freq   -3081 path delay      3923
ptp4l[564453.942]: master offset          5 s2 freq   -3064 path delay      3923
ptp4l[564454.842]: master offset          9 s2 freq   -3059 path delay      3924
ptp4l[564455.742]: master offset        -16 s2 freq   -3081 path delay      3924
ptp4l[564456.642]: master offset          5 s2 freq   -3065 path delay      3924
ptp4l[564457.543]: master offset         10 s2 freq   -3058 path delay      3925
